"Native.ID","TEMP","Longitude","Latitude"
"1A01P",NA,NA,NA
"1A02P",NA,NA,NA
"1A03P",NA,NA,NA
"1A14P",NA,NA,NA
"1A17P",NA,NA,NA
"1B01P",8,NA,NA
"1B02P",7.86,NA,NA
"1B08P",8.45,NA,NA
"1C12P",10.31,NA,NA
"1C18P",9.25,NA,NA
"1C20P",NA,NA,NA
"1C41P",9.91,NA,NA
"1D06P",8.67,NA,NA
"1D17P",10.17,NA,NA
"1D19P",9.85,NA,NA
"1E02P",9.85,NA,NA
"1E08P",9.12,NA,NA
"1E10P",NA,NA,NA
"1E14P",12.7,NA,NA
"1F03P",10.17,NA,NA
"2A06P",9.45,NA,NA
"2A21P",9.2,NA,NA
"2A30P",8.32,NA,NA
"2B06P",10.03,NA,NA
"2B08P",9.78,NA,NA
"2C09Q",11.81,NA,NA
"2C10P",12.01,NA,NA
"2C14P",8.47,NA,NA
"2D08P",9.36,NA,NA
"2E07P",10.69,NA,NA
"2F05P",10.51,NA,NA
"2F18P",12.82,NA,NA
"2G03P",9.39,NA,NA
"3A22P",6.88,NA,NA
"3A24P",9.15,NA,NA
"3A25P",12.73,NA,NA
"3B17P",10.54,NA,NA
"3B23P",11.74,NA,NA
"3C08P",4.9,NA,NA
"4A02P",9.44,NA,NA
"4A09P",8.7,NA,NA
"4A27P",7.16,NA,NA
"4A30P",10.49,NA,NA
"4B15P",8.67,NA,NA
"4B16P",7.67,NA,NA
"4B17P",7.75,NA,NA
"4B18P",9.3,NA,NA
"4D10P",7.38,NA,NA
"4D11P",8.75,NA,NA
