"Native.ID","TEMP","Longitude","Latitude"
"1A02P",NA,NA,NA
"1A03P",NA,NA,NA
"1A14P",NA,NA,NA
"1A17P",NA,NA,NA
"1B01P",8.27,NA,NA
"1B02P",8.33,NA,NA
"1B08P",8.53,NA,NA
"1C12P",8.87,NA,NA
"1C18P",8.04,NA,NA
"1C20P",NA,NA,NA
"1C41P",8.79,NA,NA
"1D06P",7.83,NA,NA
"1D17P",8.77,NA,NA
"1D19P",8.88,NA,NA
"1E02P",8.69,NA,NA
"1E08P",8.13,NA,NA
"1E10P",8.21,NA,NA
"1E14P",11.48,NA,NA
"1F03P",8.31,NA,NA
"2A06P",7.88,NA,NA
"2A21P",7.75,NA,NA
"2A30P",6.79,NA,NA
"2B06P",8.75,NA,NA
"2B08P",8.01,NA,NA
"2C09Q",9.72,NA,NA
"2C10P",9.83,NA,NA
"2C14P",6.83,NA,NA
"2D08P",7.53,NA,NA
"2E07P",8.76,NA,NA
"2F05P",8.34,NA,NA
"2F18P",11.09,NA,NA
"2G03P",7.79,NA,NA
"3A22P",9.07,NA,NA
"3A24P",8.23,NA,NA
"3A25P",9.71,NA,NA
"3B17P",9.64,NA,NA
"3B23P",10.64,NA,NA
"3C08P",9.19,NA,NA
"4A02P",9.12,NA,NA
"4A09P",9.18,NA,NA
"4A27P",4.02,NA,NA
"4A30P",11.03,NA,NA
"4B15P",8.99,NA,NA
"4B16P",8.32,NA,NA
"4B17P",8.13,NA,NA
"4B18P",10.02,NA,NA
"4D10P",8.07,NA,NA
"4D11P",9.43,NA,NA
